Property type,Rooms,Floor,Furnished,Balcony,Available from,Monthly net rent,Utilities,Deposit,Prepaid rent,Move-in price,Creation Date,district
Apartment,1,2,No,No,2024-04-03,7534,500,22602,7534,38170,2024-01-23,Bispebjerg
Room,1,1,Yes,Yes,2024-04-03,5500,0,16500,0,22000,2023-07-10,Vesterbro-Kongens Enghave
Room,1,0,No,No,2024-04-03,5000,1000,10000,5000,21000,2024-02-06,Brønshøj-Husum
Apartment,1,0,Yes,No,2024-04-03,10800,550,21600,10800,43750,2023-04-19,Amager Vest
Room,1,3,Yes,No,2024-04-03,5500,0,10000,0,15500,2023-03-22,Østerbro
Room,1,0,No,No,2024-04-03,3000,0,3000,3000,9000,2023-11-11,Nørrebro
Room,1,4,Yes,Yes,2024-04-03,5500,0,16500,5500,27500,2024-01-25,Brønshøj-Husum
Room,1,4,No,No,2024-04-03,5000,0,10000,0,15000,2023-12-29,Indre By
Room,1,1,Yes,No,2024-04-03,9950,0,10000,0,19950,2024-01-17,Vesterbro-Kongens Enghave
Room,1,4,Yes,No,2024-04-03,3800,0,7600,3800,15200,2023-02-08,Østerbro
Apartment,2,2,No,No,2024-04-03,19500,1200,58500,19500,98700,2024-03-21,Indre By
Apartment,2,1,No,Yes,2024-04-03,15950,910,47850,15950,80660,2024-03-21,Østerbro
Apartment,1,1,Yes,No,2024-04-03,13000,550,26000,13000,52550,2023-04-19,Amager Vest
Apartment,5,4,No,Yes,2024-04-03,30617,1029,91851,30617,154114,2024-03-21,Nørrebro
Apartment,2,5,Yes,Yes,2024-04-03,19950,900,59850,0,80700,2024-03-21,Indre By
